Name,Formula,Property,Value,Unit
Aluminium antimonide,Al=1 | Sb=1,SMILES,[Al]#[Sb],
Aluminium antimonide,Al=1 | Sb=1,ChemSpiderID_Ref,{{chemspidercite|correct|chemspider}},
Aluminium antimonide,Al=1 | Sb=1,ChemSpiderID,82452,
Aluminium antimonide,Al=1 | Sb=1,InChI,1/Al.Sb/rAlSb/c1-2,
Aluminium antimonide,Al=1 | Sb=1,InChIKey,LVQULNGDVIKLPK-XFZGNPHIAJ,
Aluminium antimonide,Al=1 | Sb=1,StdInChI_Ref,{{stdinchicite|correct|chemspider}},
Aluminium antimonide,Al=1 | Sb=1,StdInChI,1S/Al.Sb,
Aluminium antimonide,Al=1 | Sb=1,StdInChIKey_Ref,{{stdinchicite|correct|chemspider}},
Aluminium antimonide,Al=1 | Sb=1,StdInChIKey,LVQULNGDVIKLPK-UHFFFAOYSA-N,
Aluminium antimonide,Al=1 | Sb=1,CASNo_Ref,{{cascite|correct|CAS}},
Aluminium antimonide,Al=1 | Sb=1,CASNo,25152-52-7,
Aluminium antimonide,Al=1 | Sb=1,PubChem,91307,
Aluminium antimonide,Al=1 | Sb=1,EINECS,246-667-3,
Aluminium antimonide,Al=1 | Sb=1,MolarMass,148.742,g/mol
Aluminium antimonide,Al=1 | Sb=1,Appearance,black crystals,
Aluminium antimonide,Al=1 | Sb=1,Density,4.26,g/cm3
Aluminium antimonide,Al=1 | Sb=1,Solubility,insoluble,
Aluminium antimonide,Al=1 | Sb=1,MeltingPtC,1060,
Aluminium antimonide,Al=1 | Sb=1,BoilingPtC,2467,
Aluminium antimonide,Al=1 | Sb=1,BandGap,1.58,eV
Aluminium antimonide,Al=1 | Sb=1,RefractIndex,3.3,
Aluminium antimonide,Al=1 | Sb=1,Coordination,Tetrahedral,
Aluminium antimonide,Al=1 | Sb=1,CrystalStruct,[[Zincblende (crystal structure)|Zinc blende]],
Aluminium antimonide,Al=1 | Sb=1,SpaceGroup,''T''2d-''F''-4''3m'',
Aluminium antimonide,Al=1 | Sb=1,DeltaHf,-50.4,kJ/mol
Aluminium antimonide,Al=1 | Sb=1,Entropy,65,J/mol K
Aluminium antimonide,Al=1 | Sb=1,ExternalSDS,[http://www.mpbio.com/includes/msds/ansi/en/213426-en-ansi.pdf MSDS],
Aluminium antimonide,Al=1 | Sb=1,NFPA-H,0,
Aluminium antimonide,Al=1 | Sb=1,NFPA-F,3,
Aluminium antimonide,Al=1 | Sb=1,NFPA-R,1,
Aluminium antimonide,Al=1 | Sb=1,AutoignitionPtC,317,
Aluminium arsenate,AlAsO4,CASNo,13462-91-4,
Aluminium arsenate,AlAsO4,CASNo_Ref,{{cascite|correct|CAS}},
Aluminium arsenate,AlAsO4,PubChem,57351442,
Aluminium arsenate,AlAsO4,InChI,"1S/Al.AsH3O4/c;2-1(3,4)5/h;(H3,2,3,4,5)/p-3",
Aluminium arsenate,AlAsO4,InChIKey,CBIFDJDRCNEMQB-UHFFFAOYSA-K,
Aluminium arsenate,AlAsO4,SMILES,[O-][As](=O)([O-])[O-].[Al],
Aluminium arsenate,AlAsO4,MolarMass,165.901,g/mol
Aluminium arsenate,AlAsO4,Appearance,white crystals,
Aluminium arsenate,AlAsO4,Density,3.25,g/cm3
Aluminium arsenate,AlAsO4,Solubility,insoluble,
Aluminium arsenate,AlAsO4,MeltingPtC,1000,
Aluminium arsenate,AlAsO4,RefractIndex,1.596,
Aluminium arsenate,AlAsO4,CrystalStruct,hexagonal,
Aluminium arsenate,AlAsO4,DeltaHf,-1431.1,kJ/mol
Aluminium arsenate,AlAsO4,Entropy,145.6,J/mol K
Aluminium arsenide,Al=1 | As=1,ChemSpiderID_Ref,{{chemspidercite|correct|chemspider}},
Aluminium arsenide,Al=1 | As=1,ChemSpiderID,81112,
Aluminium arsenide,Al=1 | As=1,InChI,1/Al.As/rAlAs/c1-2,
Aluminium arsenide,Al=1 | As=1,SMILES,[Al]#[As],
Aluminium arsenide,Al=1 | As=1,InChIKey,MDPILPRLPQYEEN-LYSWLDLJAW,
Aluminium arsenide,Al=1 | As=1,StdInChI_Ref,{{stdinchicite|correct|chemspider}},
Aluminium arsenide,Al=1 | As=1,StdInChI,1S/Al.As,
Aluminium arsenide,Al=1 | As=1,StdInChIKey_Ref,{{stdinchicite|correct|chemspider}},
Aluminium arsenide,Al=1 | As=1,StdInChIKey,MDPILPRLPQYEEN-UHFFFAOYSA-N,
Aluminium arsenide,Al=1 | As=1,CASNo,22831-42-1,
Aluminium arsenide,Al=1 | As=1,CASNo_Ref,{{cascite|correct|CAS}},
Aluminium arsenide,Al=1 | As=1,PubChem,89859,
Aluminium arsenide,Al=1 | As=1,EINECS,245-555-0,
Aluminium arsenide,Al=1 | As=1,MolarMass,101.9031,g/mol
Aluminium arsenide,Al=1 | As=1,Appearance,orange crystals,
Aluminium arsenide,Al=1 | As=1,Density,3.72,g/cm3
Aluminium arsenide,Al=1 | As=1,Solubility,reacts,
Aluminium arsenide,Al=1 | As=1,SolubleOther,reacts in [[ethanol]],
Aluminium arsenide,Al=1 | As=1,MeltingPtC,1740,
Aluminium arsenide,Al=1 | As=1,BandGap,2.12,eV (indirect)
Aluminium arsenide,Al=1 | As=1,ElectronMobility,200,cm2/(V·s) (300 K)
Aluminium arsenide,Al=1 | As=1,ThermalConductivity,0.9,W/(cm·K) (300 K)
Aluminium arsenide,Al=1 | As=1,RefractIndex,3,(infrared)
Aluminium arsenide,Al=1 | As=1,Coordination,Tetrahedral,
Aluminium arsenide,Al=1 | As=1,CrystalStruct,[[Zincblende (crystal structure)|Zinc Blende]],
Aluminium arsenide,Al=1 | As=1,SpaceGroup,''T''2d-''F''-4''3m'',
Aluminium arsenide,Al=1 | As=1,DeltaHf,-116.3,kJ/mol
Aluminium arsenide,Al=1 | As=1,Entropy,60.3,J/mol K
Aluminium arsenide,Al=1 | As=1,IDLH,5,mg/m3 (as As)]
Aluminium arsenide,Al=1 | As=1,REL,0.002,mg/m3 [15-minute]
Aluminium arsenide,Al=1 | As=1,PEL,0.010,mg/m3
Aluminium arsenide,Al=1 | As=1,OtherFunction,"[[Aluminium gallium arsenide]], [[Aluminium indium arsenide]], [[Aluminium antimonide]], [[Boron arsenide]]",
Aluminium arsenide,Al=1 | As=1,OtherFunction_label,semiconductor materials,
Aluminium arsenide,Al=1 | As=1,OtherCompounds,}},
Aluminium bromide,AlBr3Al2Br6,InChI,1/Al.3BrH/h;3*1H/q+3;;;/p-3,
Aluminium bromide,AlBr3Al2Br6,InChIKey,PQLAYKMGZDUDLQ-DFZHHIFOAT,
Aluminium bromide,AlBr3Al2Br6,CASNo,7727-15-3,
Aluminium bromide,AlBr3Al2Br6,CASNo_Ref,{{cascite|correct|CAS}},
Aluminium bromide,AlBr3Al2Br6,CASNo1,7784-11-4,
Aluminium bromide,AlBr3Al2Br6,CASNo1_Comment,hexahydrate,
Aluminium bromide,AlBr3Al2Br6,CASNo1_Ref,{{cascite|correct|CAS}},
Aluminium bromide,AlBr3Al2Br6,PubChem,24409,
Aluminium bromide,AlBr3Al2Br6,PubChem1,11062022,
Aluminium bromide,AlBr3Al2Br6,PubChem1_Comment,tertikis(tetrachloromethane),
Aluminium bromide,AlBr3Al2Br6,PubChem2,10865226,
Aluminium bromide,AlBr3Al2Br6,PubChem2_Comment,hemi(acetyl bromide),
Aluminium bromide,AlBr3Al2Br6,PubChem3,11324936,
Aluminium bromide,AlBr3Al2Br6,PubChem3_Comment,ethanethiol,
Aluminium bromide,AlBr3Al2Br6,PubChem5,6093832,
Aluminium bromide,AlBr3Al2Br6,PubChem5_Comment,tris(pyridine),
Aluminium bromide,AlBr3Al2Br6,ChemSpiderID,22818,
Aluminium bromide,AlBr3Al2Br6,ChemSpiderID_Ref,{{chemspidercite|correct|chemspider}},
Aluminium bromide,AlBr3Al2Br6,ChemSpiderID1,9040513,
Aluminium bromide,AlBr3Al2Br6,ChemSpiderID1_Comment,hemi(acetyl bromide),
Aluminium bromide,AlBr3Al2Br6,ChemSpiderID1_Ref,{{chemspidercite|correct|ChemSpider}},
Aluminium bromide,AlBr3Al2Br6,ChemSpiderID2,9499890,
Aluminium bromide,AlBr3Al2Br6,ChemSpiderID2_Comment,ethanethiol,
Aluminium bromide,AlBr3Al2Br6,ChemSpiderID2_Ref,{{chemspidercite|correct|ChemSpider}},
Aluminium bromide,AlBr3Al2Br6,EINECS,231-779-7,
Aluminium bromide,AlBr3Al2Br6,UNNumber,1725,
Aluminium bromide,AlBr3Al2Br6,RTECS,BD0350000,
Aluminium bromide,AlBr3Al2Br6,SMILES,Br[Al](Br)Br,
Aluminium bromide,AlBr3Al2Br6,StdInChI_Ref,{{stdinchicite|correct|chemspider}},
Aluminium bromide,AlBr3Al2Br6,StdInChI,1S/Al.3BrH/h;3*1H/q+3;;;/p-3,
Aluminium bromide,AlBr3Al2Br6,StdInChIKey_Ref,{{stdinchicite|correct|chemspider}},
Aluminium bromide,AlBr3Al2Br6,StdInChIKey,PQLAYKMGZDUDLQ-UHFFFAOYSA-K,
Aluminium bromide,AlBr3Al2Br6,MolarMass,266.69,g/mol
Aluminium bromide,AlBr3Al2Br6,Appearance,white to pale yellow crystalline solid,
Aluminium bromide,AlBr3Al2Br6,Odor,pungent,
Aluminium bromide,AlBr3Al2Br6,Density,3.205,g/cm3
Aluminium bromide,AlBr3Al2Br6,Solubility,reacts,
Aluminium bromide,AlBr3Al2Br6,SolubleOther,"slightly soluble in [[methanol]], [[diethyl ether]], [[acetone]]",
Aluminium bromide,AlBr3Al2Br6,MeltingPtC,97.8,
Aluminium bromide,AlBr3Al2Br6,BoilingPtC,265,
Aluminium bromide,AlBr3Al2Br6,CrystalStruct,monoclinic,
Aluminium bromide,AlBr3Al2Br6,EUClass,not listed,
Aluminium bromide,AlBr3Al2Br6,NFPA-H,3,
Aluminium bromide,AlBr3Al2Br6,NFPA-R,1,
Aluminium bromide,AlBr3Al2Br6,NFPA-F,1,
Aluminium bromide,AlBr3Al2Br6,LD50,1598,"mg/kg (oral, rat)"
